citation,artist
On s'est noyé dans un soleil noir,Sofomor
"Ta voix paralyse mes pensées, j'compte plus les plaies que j'ai pansées, j'veux du feu dans mon cœur j'n'ai qu'à danser",Lolita
"Parce que la vie, c'est noir, j'vais tout fumer sans laisse un gramme",16
Mais tu sais que t'étais seule qui m'sauvait quand mes rêves étaient en suspend,Mania
"J'ai le cœur cassé d'une passion bousillée, dis-moi je t'aime, j'vais tout piller, yo ta voix me fait oublier",Saisons
"Baby, je regarde le ciel le cœur vide, je pense à nous, dépeints on ridait tard, on ridait ivres. Je veux pas qu'on se perde ni qu'on se jette dans le vide",Sakura
"Mais la nuit t'es toute à moi, on peut rien te refuser. Je nous imagine dans le noir, ou dans le feu d'une fusée",Parfum
"Bebe j’pourrais pas attendre, quand la nuit m'aperçoit, j’repense à nos exploits, nos merveilles nos réssoi. J’veux recommencer là, mêmes parfums, mêmes endroits",Motel
"Dis-moi tes faiblesses, tes pouvoirs, c'que t'as pleuré dans le couloir, j'fais des dégâts sans le vouloir",Valey
"J'me rappelle des étoiles, la poussière sur tes posters tout l'été avec toi",Nenufar
La coke est aussi pure que l'amour est véritable,Émotions
"Elle boit pour censurer sa peine, les injures qu'elle aimerait dire, t'as l'impression qu'elle veut rester, au fond elle aimerait fuir",Lolita
"Et j’ai demandé a cette brune, si on pouvait se voir quelques soirs, elle m’a dit : Claude, mais oui bien sûr, j’adore quand tu m’prends sous tes draps","Claude, mais oui bien sûr, j’adore quand tu m’prends sous tes draps~Ash KiddSource"
"Personne à qui donner ma confiance, que l'argent dans ma conscience",16
"L'impression d'tomber sans jamais atterrir, j'ai fait ça toute ma vie",Coeur de gangster
La passion dans tes yeux m'avoue qu'on devrait parler,Sakura
"Elle a de la magie dans les yeux, des tonnes de couleurs dans les tresses",Parfum
"J'essaie d'oublier quand tu t'en vas, j'essaie de t'aimer quand tu reviens",Nikita
"Chaque fois qu'j'te vois, j'ai des sentiments tellement noirs. J'entends ta voix, tu brilles comme les étoiles tous les soirs",702
"Qu'les flammes dans mes yeux viennent t'embrasser. Il m'faut de la maille, j'ai les sentiments glacés, je n'veux plus d'son cœur après ce que j'ai cassé",OTD
Y'a qu'la nuit qui sait garder un secret,Lolita
"J'veux pas qu'on en parle, je sais quand on s'ment, han, toute la nuit j'pense à la même chose",Satur
"Jolie poupée qui salit l'ennui, j'repense à toi après un verre",Nikita
"La nuit abrite mes sentiments, seul dans le noir à vouloir te dire que tu me manques",Lolita
"On laisse passer le temps, on reprend on sait qu’on s’aime, la nuit m’apprend la ride, m’épargne de ses conseils",Motel
"Mes oreilles t'écoutent, mon cœur ne t'entend pas",Coeur de gangster
"Laisse-moi voir tes plaies, c'que j'aime ta solitude, c'que j'aime ta solitude, détesté par ceux qu'on aime, accro à c'qui nous tue",Lolita
"La drogue s'vend comme s'fuck les nanas, j'ai d'la cyprine sur le cartable",TN
"Tu l'aimeras jusqu'à l'aube quand l'soleil s'ra vanillé, après la nuit tu s'ras l'meurtrier d'sa vitalité",Lolita
"Ma main passant dans tes cheveux, j’y passerais bien la nuit, la journée, même la vie",Motel
"Jeune bourgeoise danse pour moi, au creux des flammes j'ressens le poids de ta douleur",93
"Toi et moi, et eux, c'est pas la même, on a la tête plongée dans un rêve",Saisons
"Ta passion c'est mon pilier, ma boisson c’est l’océan babe, à moitié vide pour t’oublier",Medusa
"Moi j'voulais parler de ma peine mais j'trouvais pas les mots, des fois on sait pas quand on saigne, on pense juste qu'on ira mieux",Satur
"Tu penses que j'joue un rôle mais c'est moi, man, j'aime cacher ma rage mais elle est sur moi",Coeur de gangster
"Elle brûle le fond d'son cœur, s'enferme dans sa réalité",Lolita
"Quand vient la nuit, on baise, on casse un gramme, on meurt, on répète à deux sous les draps",Parfum
"L'argent et toi, y'a que ça qui m'attire, m'attire, j'te vois recouverte, noire de saphir",Parfum
"Pour trouver mon inspi j'prends la pipe, laisse les grammes brûler un petit peu",Lemonade
