citation,artist
"J'suis un macaque selon Darwin, j'ai une grosse bite selon Marine",Drapeau noir
"Ton cercueil ton nouvel habitat, je n'viendrai pas à ta crémaillère",Habibi
"Les vainqueurs l'écrivent, les vaincus racontent l'histoire",92i Veyron
"Né dans une cible, on a coupé mon cordon avec une scie. Neuf mois dans un bunker, le majeur debout, l'daron a craché dans un chargeur",Ecoute bien
"C'est pas le quartier qui me quitte, c'est moi j'quitte le quartier",DKR
"J’voulais savoir pourquoi l’Afrique vit malement, du CP à la seconde ils m’parlent d’la Joconde et des Allemands",Nouvelle école
"Si y'a embrouille, on négocie pas, t'as pas d'quoi nourrir un Tamagotchi",Ma définition
"Autour de toi, l'amour s'efface, mais tu n'y penses pas, faut qu'les choses se passent. C'est vrai, t'as la vie dure, la chance, elle te crache à la figure. Mais à quoi bon se plaindre ? C'est pas comme ça qu'on paie ses factures",MQTB
"Le malheur est dans le béton, le bonheur est dans le pré",Magnifique
Quand j'ai la clé j'm'en sers pour casser l'carreau,Comme les autres
"Tu pues d'la chatte, on te Febreze",Strass et paillettes
"De cette époque où les jours se ressemblent, où pour monter faut que je leur ressemble, je ferai pas un succès sur ce genre de sample. Moi je te réponds qu’on sait pas sucer, juste arracher la Sicile aux Italiens car mon compte courant part en sucette",Nougat
"Coup d'coude dans ta mère, coup d'coude dans ta mère sur ",Sans ratures
"Coup d'coude dans ta mère, coup d'coude dans ta mère sur Tchikita. J'espère régner aussi longtemps qu'Abdelaziz Bouteflika",Terrain
Ton rire ouvre la mer en deux,Petite fille
"On porte des grosses chaînes, on baise des grosses chiennes. Que tu viennes du Bronx ou d'Saint-Étienne, fais pas des tiennes",MQTB
"Brûler leur sperme en échantillon, souder leurs chattes",Ecoute bien
"Si j'te fume c'est pour ton bien, c'est pour qu'tu n'recommences pas",Pinocchio
"Ma longévité dans ce game en dit long, ta carrière en nylon, mes seules barrières sont de corail, j'suis un Benzema à Lyon",Bouyon
"Grillé mais je nie, ici les hyènes ont une insigne, et j’espère qu’c’est pas l’un d’nous qui servira de gnou. La folie, le sang, la mélancolie, du rap, du fil rouge, des risques et du son : ma définition",ma définition~BoobaSource
"Usé par les mauvaises langues mais rusé j'use de la risée pour t'arroser si tu veux juger bouge. J'suis l'MC scolarisé, change mon instruction en polar, et tu savais qu'j'arrivais depuis qu'tu suçais l'pouce",De mauvaise augure
Personne te regarde comme le handball,4G
"On m'a dit : Qu'est-ce tu veux faire quand tu seras grand ?, sans hésiter, je me suis retourné, j'ai dit : Ben j'veux tout niquer","Qu'est-ce tu veux faire quand tu seras grand ?, sans hésiter, je me suis retourné, j'ai dit "
"La justice a deux vitesses, le Lamborghini en a six",Friday
"Alors je demande un temps mort parce qu’on se fait niquer au score, un flow de porc, je suis là pour ouvrir d’autres portes",Temps Mort
"J'suis avec Théo, on fuck les schmitt, j'rôde avec mon slip en fer",Friday
"Souhaite-nous santé, bonheur, le reste on l'achètera",Ça va aller
"Je boxe avec les mots, Muhammad Ali m'a couronné",Comme les autres
"Nouveau riche, ma Lamborghini a pris quelques dos-d'ânes, j'fais ni la queue au Ritz, ni au McDonald's",92i Veyron
"Depuis les chaînes et les bateaux j'rame, t'inquiète, aucune marque dans le dos man, j'les ai dans le crâne",Le bitume avec une plume
"J'suis différent, premier qu'en sport et en chant, délinquant, rentre à l'heure où les oiseaux chantent",De mauvaise augure
"Les hyènes ressentent la tumeur, et moi je suis d'humeur palestinienne",Destinée
"J'fais du 0 à 100 en 1'10'' quand j'vois mes khos en sang, j'dors sans la fiole, démarre sans fuel",Le bitume avec une plume
"Quand la roue tourne que je t'encule, j'appelle ça le Karmasutra",Friday
"À aboyer sans mordre, tu vas te casser les dents. Avant de les détruire, je laisse parler les gens. J'n'aurai jamais d'tour d'ivoire, je n'tue pas l'éléphant",E.L.E.P.H.A.N.T
"On m'a dit d'changer des mots pour pas qu'les petits me suivent, pas grâce à moi qu'ils pensent à Tony devant leurs petits suisses",On m'a dit
"Nos cœurs battent trop vite, on va se crasher, il faut réduire la vitesse",Validée
"Mon frère j'voulais la gloire, j'ai eu la guerre, j'l'ai faite, y en aura d'autres",Le bitume avec une plume
"On m'a dit Ok si tu t'autocensures, nique ta mère ici c'est noir amer comme un café sans sucre",On m'a dit
"Dulcinée veut aller au ciné, j'vais lui péter le dos, elle ira juste chez le kiné",À la folie
"Pour eux, si t'es black, d'une cité ou d'une baraque t'iras pas loin, c'est vends du crack ou tir à 3 points. J'ai vu l'passé kidnapper l'avenir, le présent sucer des bites et tous mes négros sur un navire",Indépendant
"Si tu t'en tires avec des prothèses c'est qu'Dieu te protège, et si un jour on m'entend plus sur le disque ce sera à cause de ceux qui sucent, trahissent, scusent pour le beef. Tu parles de femmes, de voitures, de biz et tout, mais tes royalties : 5 ou 6 Royal Cheese, c'est tout","5 ou 6 Royal Cheese, c'est tout~BoobaSource"
J'ai toujours le mauvais rôle mais je joue que les meilleurs films,113
"J'ai craché sur ton sol, j'n'y mettrai jamais l'genou",Magnifique
"Passent les gos, passent les euros, passent les années, ^assent les clashs, guerres, ma carrière est cellophanée",Friday
"Docteur, j'fais une fausse couche parce que la rue m'a baisé",Destinée
"Tricher pour être riche avant 30 piges, tonton écoute mon air, mes nerfs et mon son, putain de merde !",Temps Mort
"On est venus cracher notre haine moi et ceux derrière, ma première parole sera la dernière",Repose en paix
À l'école de la rue j'ai fait Harvard,Talion
"J't'explique la scène, qui veut ma peau perdra la sienne, kho, froids sont les repas dans nos assiettes",Destinée
"L'argent n'fait pas l'bonheur, bonheur remplit pas l'assiette",Petite fille
"Pé-sa en noir avec une faux, je contourne les MC's à la craie blanche",Repose en paix
"Tellement d'écus, j'ai pas b'soin d'être beau, elle m'donnerait son cul même si j'étais gros",Nougat
J'ai couronne sur la tête pourtant c'est le voisin qui a eu la fève,92i Veyron
"Si tu cherches l'échec, tu demandes à Kaaris",Attila
"J'ai fait des erreurs, dans la vie rien ne s'efface, J'suis fait pour une seule femme, pour plusieurs pétasses",Ridin'
Elles sont faites contre nous donc on enfreint les lois,Petite fille
"J'aime l'argent mais je préfère avoir le temps, tu as l'arme, encore faut-il avoir le cran",Trône
"J'vais te casser le dos, pas te marier. Me tiens pas la main, ça va parler, j'ai déjà l'Balmain baissé sur le palier",DKR
"Fuyons d'ici, ma duchesse, rien qu'nous, très loin du reste",U2K
"Si j'tue un fils de pute, y a pas mort d'homme. Le drapeau est noir car l'blanc est pour ceux qui abandonnent",Drapeau noir
"Depuis 0.9, ils critiquaient mais ont tous saigné l'autotune",Trône
"Nique ta fondation de merde, j'préfère sauver les animaux",92i Veyron
J'n'ai plus d'besoins que des envies,Nougat
"Sans pitié comme l'amitié, incontesté, rap au Subutex et c'est comme ça quand on a gesté, les faux parlent des faux",Interlude
"Le boule est plat, tu ne fais pas vraiment de squats",DKR
"Je suis fait de larmes de gloire et de fer, pas le temps pour les regrets",Sans ratures
"Mon camp c'est le règne animal, là où il n'y a plus de gens. J'veux aller plus haut qu'le sommet de la montagne, là où il n'y a plus de vent",Habibi
"Vroum, vroum, j'fais des roues arrières dans l'cul d'ta madre, on peut même pas dire qu't'as mal joué, car t'as pas joué",Génération Assassin
"Cherche pas les clés d'mon cœur, j'ai que les clés d'la Lambo",Attila
"La vie mais pas mon rêve, y'a qu'ça qu'tu m'enlèveras",Petite fille
Tu ne baises pas la première-fois ? Moi je ne baise pas la deuxième,Génération Assassin
"Crois-en mon expérience, issu d'un peuple averti, c'est B2O, j'ai 423 ans",Ecoute bien
"Je t’assure qu’on peut faire des battes avec d'la sciure, certifié sans ratures ni fausses blessures",Sans ratures
"Dans ma banlieue ça étudie, ça joue au foot un peu, j't'ai pas tout dit, ça rappe, deale, se shoote un peu",Nouvelle école
"Rien n’a changé à part le change, j'demande un temps mort, c’est malheureux je reviens c’est dangereux",Temps Mort
"T'es bonne en cuisine, t'es bonne en legging, j'suis né dans les grands vins, t'es mort dans les vignes",Attila
"Y a la vie, ses bons côtés, moi j'suis sur l'autre berge boy, j'suis en écoute à la Fnac et chez les RG",Indépendant
Mon putain d'arôme putain la route est longue de Boulogne à Rome et j'dois sortir vainqueur d'une défaite,Ecoute bien
"J'lui ai attaché les mains, c'est ses fesses qui applaudissent",Drapeau noir
C’est comme s’il avait croqué deux pommes depuis que j’ai le mic’ dans la paume,Sans ratures
"Une putain d’époque mon pote, ici il faut des putains de dorsaux, un putain de morceau et tous les blocs ont leurs Glocks sous les doudounes, poc poc !. Boulogne mon putain de dôme, Chouf, un putain d’homme-singe, un putain de gun et un chauve",Temps Mort
La mort c'est la sœur de la paresse,Talion
"Déconseillé aux gens dits sensibles, voyou tu peux sé-dan sur mon son ou celui des dissidents. Pas d’ici, enfants du ciment, pas besoin de te faire un dessin,  par les décibels on décime",Animals
"J'ai un cœur tombé du camion, le sourire au bout du canon",Trône
"Mon initiale sur ma bague puis sur ta joue, parce que t'es naze et tu perces et tu t'la joues",Nouvelle école
"T'es au bord du suicide, j'suis au bord de mer, te tuer si tu les touches, c'est mon rôle de père",Pinocchio
"Faut battre le fer quand il est chaud, abattre le frère quand il est faux",Terrain
"Je ne manque de rien, je ne manque que de temps",Habibi
"On l'a fait tout seul, du sous-sol au toit sans boussole, de la caresse au doigt dans l'boule",Indépendant
"On trinque à nos balafres, à nos crochets tous les soirs",92i Veyron
"J'les baise mais pas sans leurs talons, passe le mot à Cendrillon",Centurion
"J'ai du mal avec les humains, car instinct animal",Friday
Tu n’arriveras jamais comme le feat avec Rohff,Walabok
"J'suis dans les boîtes, les gifles et dans les chiffres",Ecoute bien
"Je dois marquer mon territoire, on veut m'empêcher de pisser, j'arrive sur toi plus vite que les ragots, mon argot sous un garrot derrière des barreaux, les poils hérissés",Repose en paix
"Dans la banlieue c'est l'Moyen-âge, y'a pas d'maille et sur l'droit chemin y'a un péage",100-8 Zoo
"Ou j’te fais jouir ou j’te fais mal, c’est très simple, ma définition avec des textes à prendre à 1 degré 5",Ma définition
"On y pousse un peu d’travers, skate, BMX puis nique la RATP, tout ça rythmé de rap music. Ma jeunesse a la couleur des trains, RER C",Ma définition
"En France comme dans la schneckzer, nègre est à l'étroit",Petite fille
"Ennemis assis sur l'obélisque, quand ça rer-ti, ils obéissent",Ridin'
Ne fais pas trop de bien ou tu seras cloué sur une croix,92i Veyron
"La vie c’est dur mais, ici on s’en remet, plus rien ne m’étonne jusqu’ici tout va bien",Jusqu'ici tout va bien
"Mon prof' m'a dit : tu finiras à Nanterre, je n'voulais pas réussir de toute manière","tu finiras à Nanterre, je n'voulais pas réussir de toute manière~BoobaSource"
"J'nique des mères à toute vitesse, ma queue a syndrome de la Tourette",Génération Assassin
"Pas besoin de pilule du lendemain, j'te crache dans l'nez",Pinocchio
"J'ai fait du game une dictature, pour ça qu'on me récompense pas",Pinocchio
"Je perdrais tout pour lui, ne passerai jamais d'l'amour à la haine",Petite fille
Si t'es un avion de chasse on va s'crasher c'est sûr j'sais pas piloter,Comme les autres
"L.U.N.A, ma petite fille. À m’asseoir sur un banc, en tenant dans ma main tes petits doigts de femme",Petite fille
"Et y’a plein d’trucs à prendre, et puis t’apprends vite avec les coups. Reviens avec tes couilles, tes potes frappent avec les coudes. C’est pousser comme une ortie parmi les roses, et ils sont trop alors j’appelle mes khos les ronces",Ma définition
"Personne dans le monde ne marche du même pas, leurs règles ont toutes une tombe, c'est ça qu'ils n'comprennent pas",92i Veyron
Tu n'peux que gagner quand t'as rien à perdre,Magnifique
"J'ai laissé mon cœur ouvert, pensant que tu n'allais rien voler",Validée
"Booba, échec, j'n'ai pas trouvé de lien, parler de mes défaites, c'est ne parler de rien",Ça va aller
Jésus dit de tendre la joue mais je n'suis pas pratiquant,Habibi
"J'me barre et j'ai pas yèp, nique le strass et les paillettes, inonde les ondes au fusil à pompe de Boulogne à Lafayette j'gronde",Strass et paillettes
"Ces fils de putes portent l'œil, j'ai teinté les vitres du double R. Revanche, colère, échec scolaire, dis leur y'a R à Baudelaire, à Molière",Centurion
J'suis la belle vie sous un autre angle faut pas t'inquiéter,Repose en paix
"Trois mojitos, j'sors pepito, dame un besito, pute, p'tit pont dans la schneck à Linda or je force, j'vais droit au but",MQTB
"N'ai aucun doute sur le département, récolte ce que tu sèmes, moi, c'est la haine que je t'enseigne, quartier Hauts-de-Seine",Inédit
J'rentre d'un footing avec Vladimir Poutine,Nougat
"On m'a dit : je t'aime et je saigne,  j'ai dit : je sais","je t'aime et je saigne,  j'ai dit "
