citation,artist
"Si seulement l'harcèlement n'était qu'une légende, si seulement l'harceleur n'était qu'une erreur",#Balancetonporc
"J'ai vu trop de potes subir le sort de déception, menant à ce genre de dépression qui pousse à l'addiction",Indigo
"Affectée par de nombreuses tragédies, les pertes, les conflits m'ont bien enlaidie
Je n'ai jamais joué la comédie, j'ai passé du temps à faire des insomnies",Trouble
"A l'aube du reste de ma vie, j'sais pour qui j'veux faire mes preuves, j'suivrai le courant de ce fleuve, qu'importe vos dires, l'ignorance sera mon arme",Carpe Diem
"J'écarte la lumière de l'ombre, j'évite d'être sombre. Moi qui pensais y être condamnée, j'efface les encombres, sors de la pénombre",Moral
"Non je n’crains pas les hommes, mais me méfie de ceux qu’ils me veulent du bien",Tant pis
"J'les entends déjà dire elles sont pénibles mais de jour en jour, les langues se délient",#Balancetonporc
"Tu n'apprécies pas, tu commentes ",Exil
"Tu n'apprécies pas, tu commentes T'es cheum, derrière ton écran, déboussolé t'es seul",Sale chienne
"Non je n'ai pas oublié, les douces attentions que tu m'as portées, l'écoute, la protection, même quand t'avais rien tu voulais tout donner",Chico
"Si j'étais un homme, j'ferai pas de sentiments, j'ferai des promesses que je n'saurai tenir, te couvrirai de coups juste pour te retenir, si tu veux me plaire il te faudra souffrir",Si j'étais un homme
"L'habit ne fait pas le moine, la richesse n'embellit pas l'âme",Millionaire
Je te serai infidèle mais tu reviendras quand même,Si j'étais un homme
"J'suis pas féministe, le vrai terme c'est humaniste",#Balancetonporc
"N'essaye pas de m'éloigner des faits, sache que mon temps est précieux, qu'à l'avenir je ne compte pas le perdre",Mélodrame
"La volonté d'être riche, tant dans le cœur que sur la fiche de paie, vivre la conscience en paix, garder les sourires et cacher les peines",Aller sans retour
La justice fait semblant d’être à l’écoute avec l'audition de Beethoven,#Balancetonporc
"J'ai tourné le dos aux hyprocrites, désormais j'ai tourné la page",Je viens de nulle part
"Malgré les dires j'ai dépassé vos acquis, taffer pour réussir demain sans que personne n'entrave mon chemin",Moral
"J'essaie de m'exprimer, en vain ; mes doutes me consument. J'ai comme une vague de doutes qui se noient dans mes pensées, j'ai beau essayer de nager mais des courants sans fin m'attirent, me font sombrer",Trouble
"Toi innocente et pure, loin de leurs rêves obscurs, t'as du talent, c'est sûr, donc ferme-là et suce",#Balancetonporc
"Les pensées dans les nuages, le ciel d'un bleu immuable. Je passais pour une escroc, j'ai bien des rêves à réaliser, c'est pas en dormant que ces rêves vont se réaliser",Dans La Ville
"J'ai parfois chanté du R. Kelly, j'ai vite déchanté d'un air débile. À treize ans, je jouais Le Pianiste, la pauvre Samantha, elle rencontrait Polanski. J'ai grandi avec du Noir Désir, puis tout est parti à la dérive. De nulle part l'aigle noir surgit sur la vie, dans les foyers, dans les caves en collectif",#Balancetonpère
"Ça parle d'islam, ça polémique juste pour garder sa place, regardez les bilans, dites moi qui se voile le plus la face",Lettre au président
"Vous n'êtes pas comme le peuple et c'est pour vous qu'on devrait voter. Comment s'identifier à vous et à vos idées, quand la montre à votre poignet vaut plus que nos loyers",Lettre au président
Ironique comme un jongleur SDF qui manque d'adresse,Lettre au président
"Si tu me dis non j'te ferais changer d'avis, j'te foutrais la misère j'te pourrirai la vie. J'ferais selon mon orgueil, selon mes envies, j'te dirais qu't'es la seule, je te ferai sentir unique, j'regarderai le foot, toi tu feras la vaisselle",Si j'étais un homme
