citation,artist
"Tu fais rien mais prie quasi tous les jours, tu t'mens en t'disant qu'tu vas tout niquer, un athé qui taffe quasi tous les jours, aura toujours plus d'opportunités",Baltringue
"J'vais te cramer au monde entier, grillé, j'vais te Serge Aurier",Périscope
"J'respecte beurettes et imams, jugement d'vautour j'laisse à Dieu",Périscope
"J'vais voir ailleurs pour voir si t'es là, toujours à dire qu'j'suis un salaud, j'te jure, j'l'ai baisée seulement qu'une fois, oh",Perplexe
"Pas d'concerts avant longtemps (ah oui ?) Les artistes à chicha commencent à paniquer, gros",R9R-LINE
Touche mes couilles et dis moi félicitations ,Η. Gova
"C'est difficile quand ça d'vient facile, mon cœur a parlé, ça d'vient difficile même d'en parler donc j'vais plus trop parler",William
Eh ! Ferme ta gueule journal télévisé : le monde entier se fait Daeshiser,le monde entier se fait Daeshiser~DamsoSource
"Échec scolaire, j'étais d'ceux-là : aujourd’hui j'règle la note",aujourd’hui j'règle la note~DamsoSource
"Fais pas l'amour à une femme comme un homme, la Bible dit qu'c'est une abomination.
Alors à chaque fois qu'je t'encule, j'demande pardon au ciel pour faute d’inattention",Débrouillard
"Parle pas trop de tes rêves, ces fils de lâches, ne voudront pas que t'y arrives. Te noieront, avant que t'atteignes la rive, n'aiment pas voir négro au sommet",N. J Respect R
J'suis l'batard Jon Snow négro tu n'es que le nain,Jean Reno
A ce qui paraît tu maîtrises bien la langue : tes fellations sont comme des calembours,tes fellations sont comme des calembours~DamsoSource
"Déçu par mes proches, déçu par mes parents, déçu par mes idoles. J'ai juste compris qu'la vie n'est qu'une façon de voir les choses",Rêves bizarres
"Aime les mômes mais les mômes l'aiment pour c'qu'il n'est pas, ou l'aime pour c'qu'il sera qu'après verge mouillée",Julien
"Sperme dans les yeux, l'amour l'a-t-elle aveuglée ?",Η. Gova
J'crains plus ma vie que ma mort,Α. Nwaar Is The New Black
J'te regarde sans te voir comme La Joconde,Ζ. Kietu
J'fais tout pour être T2 sur tous les joints,Graine de sablier
"Même sourire, différentes blessures, même compte, différents montants",William
"Elle voulait la rose mais sans les épines, j'ai perdu du terrain comme en Palestine",Α. Nwaar Is The New Black
J'peux séparer la mer mais j'peux pas rassembler nos cœurs,Ε. Signaler
"La vie c'est le patin, j'suis la patinoire",Autotune
"J'suis pas là pour faire la morale, la morale a fait de moi c'que je suis devenu",Débrouillard
"C'est vrai, j'te trompe avec la bite, mon cœur, lui, n'a d'yeux que pour toi, j'te d'mande ta main pour que je gicle, mais bientôt, c'sera pour bague au doigt. Laisse-moi le temps d'être ce que je n'suis pas, pour devenir c'que tu veux qu'je sois",Perplexe
"J'viens à ton mariage en training, pour bien te manquer de respect",N. J Respect R
J'te vois comme Jay Z voit Beyoncé : une salope que j'n'ai pas besoin de financer,une salope que j'n'ai pas besoin de financer~DamsoSource
"Dans sa tte-cha, j'ai nagé le crawl",BruxellesVie
"À trop mener ma vie comme je l'entends, j'suis devenu sourd",Λ. Lové
