citation,artist
"Tu m'entends, mais tu n'écoutes pas",$ilence
"Tes gars font du hors-piste,
le nez dans la poudre blanche.
J'suis comme ta bouteille de whisky sec j'ai dormi sous l'banc",Billy cocaïne
"Entre nous ce n'est pas fini, ça n'a jamais commencé,
mais tu étais mon héroïne et j'étais Kurt Cobain",Flex
"Fais du feu mon élément, c'est de la braise qui s'abat,
sur les murs du bâtiment j'ai gravé Genji-Sama.
Tu veux parler mandarin mais dis moi qu'est-ce qui n'va pas,
je n'lève la main que pour frapper comme un Genkidama",Fichu
"J'perds pied quand elle prend le sien,
son sourire me rappelle un peu le tien",$ilence
"J'espère que tu n'as pas souffert,
mais t'aimer, je n'ai pas su faire",$ilence
"Rien n'est gratuit même la violence est une prestation.
Gava t'as du mal à parler mais l'ivresse t'assiste,
je fais l'action, elle fellation",Fichu
"Pétasse, aujourd'hui ça fait 7 ans que les verres sont cassés.
Yeah, silencieux je vise le coussin, je ne suis bon que dans La Haine appelle-moi Vincent Cassel",Flex
"Roro sur le poignet, ne fait pas d'quartier,
tes mc's sont bien nourris j'les graille en quatre quart d'heure",Killcam
"Le daron fait son bail et puis se nashave:
J'suis bien le fils de mon père","
J'suis bien le fils de mon père~DjangoSource"
"J'aime les barrer par coup,
j'vais les barrer par douze",Billy Cocaïne
"J'ai plané comme un frisbee,
cendré plus de 1 000 fois mais le Phoenix est empaillé",Fine$$e
Dans la nuit j'ai vu qu'Hadès avait la paire d'Hermès !,Billy cocaïne
"Je n'peux pas lui dire Je t'aime,
jamais je n'tutoie les reines",$ilence
"On m'a dit Tu n'manques pas d'air, ma ville est asthmatique",Fichu
"Je suis bridé dans les mots, je gratte à l'encre de Chine;
J'ai préféré voter blanc que pour un temple de skin",Fichu
"Si le soleil se lève, moi je ferme les yeux,
ça fait quelques années je n'sais pas s'il fait beau",Fichu
"J'ai du mal avec les smileys, j'suis comme Patrick Jane",Fichu
Sache qu'une femme nue dans un lit vaut mieux que mille et une drogues,Fine$$e
"J'peux te raconter ta vie, donne moi le temps que je screen",Fichu
"Avant y avait les Shelby désormais y a les Vachter,
je vis ma vie comme un jeu, j'suis comédien dans Watchmen",Fichu
"J'ai perdu les pédales comme une automatique,
je suis déboussolé mais je ne perd pas le nord",Flex
"J'étais dans ta rue la nuit, tu m'as dit Reste en bas:
Immobile et contemplé comme une fresque en bois","
Immobile et contemplé comme une fresque en bois~DjangoSource"
J'ai la main sur le coeur j'suis comme le stratège à Austerlitz,Fine$$e
"Quand on me dit qu'j'suis un bâtard, c'est de l'appréhension,
quand je leur dis que j'suis imbattable, c'est de la prévention",Impala 1967
"Flingue, flingue par terre ils diront que j'suis casse-pied,
tu n'as que très peu d'intérêt comme une chute au handball.
Je suis venu cacher le soleil comme un million d'archers",Fichu
"Le diable se trouve dans les détails comme Sasori qui fractionne,
j'suis incompris comme Ricky Jackson",Flex
Si l'arbre est touché par le vent c'est qu'il n'a pas de racines,Killcam
