citation,artist
"J'n'entendais que la pluie, ta voix qui chuchotait dans ma tête
Probablement, j'étais seul, tellement seul qu'j'entendais même plus tes appels",Que la pluie
"En sous-marin, c'est la Navy, Boulogne Boy's dans la playlist, fuck une ligne, fuck un train d'vie, j'gratte un texte dans la 13 qui parle d'une villa avec une putain d'vue",Iverson
"T'as l'impression qu'y a l'monde entier qui veut ta peau
L'impression qu't'es solo dans l'océan, sur un radeau
Mais tu t'regardes dans l'miroir et tu t'dis qu'ça sera toi n*gro, ça sera pas un autre",Voir le monde brûler
"Y a rien d'normal dans c'monde pour celui qui est spécial
Donc tout l'monde veut l'dissuader d'rester spécial",Spécial ft. Nekfeu
"Quand tu t'regardes dans l'miroir, avoue qu'tu t'reconnais pas
Tu t'dis qu'c'est la vie et qu'la vie, ça doit être une pétasse
Qui t'a laissé en plan et qui t'a même pas donné tes chances",Voir le monde brûler
"Avant-hier, j'étais dans l'noir, demain soir, j'serai dans l'noir, t'inquiète, l'an prochain je s'rai roi, l'important c'est d'y croire",Iverson
"Et t’es dur avec toi, ça j'espère, tu l'resteras jusqu'à la fin d'l'histoire, parce que c'est ta façon d'faire et qu'c'est la meilleure au monde, juste parce que c'est la tienne",Une histoire étrange
"Monde est cruel, a pas pitié d'toi, j'fume une clope, j'suis sur le toit
Mélancolie, mode cinq étoiles, j'dois faire comme si j'étais sûr de moi
Y a du monde quand faut faire la fête mais plus personne quand faut assumer
Les yeux dans l'vide, c'est parce que j'vois loin, c'est pas parce qu'y a de la fumée",Fallen Angels ft. Slowthai
"Parce que celui qui a jamais essayé sera jamais éveillé, le bonheur faut l'payer, pas en euros mais avec des larmes",Une histoire étrange
"Ça rêve d'un cheat code, ça rêve cheap mais y a p't-être une autre issue, y a p't-être une autre vie, tu m'as négligé dans celle-ci, mais tu vas m'sucer dans une autre life",Window shopper part. 2 (ft. Hamza)
"T'en voulais au monde entier, l'impression qu'il veut t'contredire, qu'il t'a jamais bien compris, toi t'attendais juste un signe, juste un défouloir",Voir le monde brûler
"L'enfer c'est les autres, la porte d'à côté
Là où y a toujours beaucoup d'bruit mais très peu de public, où on y fait des concerts
Où l'on chante des chansons, que personne n'aime entendre, des chansons pour célébrer la mauvaise entente
Qui font peur aux enfants, tard dans la nuit, c'est l'bruit des assiettes qui fait l'harmonie
Une chanteuse anonyme qui crie son spleen
À un moment donné, elle s'écroule sur le sol mais personne n'applaudit
Crever sur scène comme Dalida, putain c'est triste",HELP !!!
"Tous tes vieux chagrins sont loin derrière toi, avec le temps, ça d'vient des jolis souvenirs","Une histoire étrangeConcu' tous les jours comme si j'étais dans un Sofitel. Y a plus d'merci, y a plus d'pitié, j'vois tout plein d'copies s'dupliquer, j'dois toujours rester au-dessus~LaylowSource"
