citation,artist
"Je ne sais plus ce qu'est être aimé, j'aimerais te serrer contre moi,
tu occupes mes pensées la nuit depuis au moins quatre mois",Mélancostalgie
"La nuit éclaire mes questions sans solutions:
Elle et moi parlont peu car j'aime quand c'est silencieux","
Elle et moi parlont peu car j'aime quand c'est silencieux~LonepsiSource"
J'entends ton absence qui résonne dans le creux de mon verre,Neruda
"Je me demande si, il reste quelque chose de toi qui vit secrètement en moi",À mon passé
"Faites qu'il pleuve, que la pluie efface nos erreurs, faites qu'il pleuve, que l'orage tombe",Rivière & océan
"Tu peux fouiller dans tes souvenirs, car t’ennivrer d’une illusion réparera tes plaies, mais provisoirement, car ça n’est pas réel",Le temps d'un instant
Je cherche les lumières du soir qui allumeront ton sourire,Sans dire adieu
"Ressens les séparations, ne va pas trouver l'amnésie dans le regard d'une autre, l'oubli n'existe pas",Ressens
"Il aperçut l'homme au tablier, en l'interpellant d'une main,
concentré dans sa lecture, il n'y prêta pas attention.
Mais l'homme au costard, décidé, fit la suivante intervention :
- Demande-moi n'importe quoi et je te le donnerai
- Peux-tu t'écarter, répondit-il, tu es devant le soleil","
- Demande-moi n'importe quoi et je te le donnerai
- Peux-tu t'écarter, répondit-il, tu es devant le soleil~LonepsiSource"
"Comment se conjuguer avec autrui sans savoir ce que les maux sont ?
J’ai déjà foncé dans un mur à la vitesse de mes émotions",À la vitesse de mes émotionsl
"J'ai du mal à m'endormir du fait que mes pensées parlent trop fort:
Elles dialoguent et se remémorent la plupart de nos torts","
Elles dialoguent et se remémorent la plupart de nos torts~LonepsiSource"
"Pour lui, la littérature est un passe-temps soulageant,
il pense que les mots donnent à la pensée une existence",L'homme au tablier
"Sublimée, si je te parle de ma vision des choses, tu verras flou comme après une attaque de fumigènes.
Au quartier ça fumait jeune, t'as connu ces fameux joints",Mélancostalgie
"Tu es maladroite comme un enfant qui se précipite, mais je te pardonne car tu m’as sauvé de ce précipice",Sans dire adieu
"Pour se voir on devait attendre la nuit, on était finalement comme deux étoiles",Comme deux étoiles
"Le temps qui passe autour de nous est un vase rempli de petits miracles, je suis certain que sans cela un poison mortel peut devenir vital",Hymne à l'ivresse
"On s'est séparés d'un coup pour une question de valeur fondée,
sur des bases autant fragiles que toi quand t'as peur.
Les coups de minuit sont des coups peu douloureux",Mélancostalgie
Pourquoi m'as-tu demandé : « l'hymne de l'amour se cultive ou il s'exploite? » ,« l'hymne de l'amour se cultive ou il s'exploite? » ~LonepsiSource
"À force d'écrire, mon cœur je le connais par textes",Rivière & océan
"Tu viens désorienter mes sens, réveiller mon adolescence. Tu es ma seconde naissance, le frein qui contient mon essence",Lettre à nuit
"La nuit c'est le noir illimité contredit par quelques étoiles, quand je veux au mieux me définir, je ne parle pas d'mes exploits",Hymne à l'ivresse
"Au fond de tes yeux je vois encore ces ruelles, celles qu'on arpentait pour revenir chez soi ",Comme deux étoiles
"Bien que mes sentiments peuvent tenir dans le noyau d'un atome, j'aime sentir le parfum de sa danse effleurer ma peau",Neruda
"La vie n'est pas un coup d'essai,
cependant on grille les feux lorsqu'ils sont rouges incandescents.
La peine est condensée dans des bouteilles qu'on descend",Mélancostalgie
"Toutes les courbes de ton corps viennent envelopper le report de mon regard, même le ciel étoilé devient ringard",Quand la nuit tombe
"Pourquoi pour remonter la pente je n'peux pas remonter le temps ?
Cette idée est si absurde, qu'elle est d'emblée décevante",Lettre à nuit
"Ressens que tu peux être absolument insignifiant pour une personne, que tu peux également bouleverser l'existence d'une autre personne",À la vitesse de mes émotions
"Plus je vous connais et plus les gens simplets m'attirent,
je dois cicatriser vite avant que toutes ces plaies m'enterrent",Ressens
"Ouais, le temps passe et nos décisions nous appartiennent.
On s'était jurés qu'on allait réussir pour les parents",Danger de mot
"Nous si on était doués, c'était pour traîner tard en ville,
squatter des bars en crise où les peines pouvaient s'attendrir. Si tous les soirs on tizait, que nos pensées ralentissaient,
c'était qu'on était poussés par l'envie d'oublier que nos parents criaient",On s'était juré
Et s'il ne me restait plus qu'une opportunité pour modifier mon destin je plongerais mes yeux dans la direction qu'empruntent plus courageusement les tiens,Nos maux
Je traverserais la nuit précédente pour plonger dans le matin de notre relation,Neruda
"Nous étions comme deux univers qui semblaient s'opposer, destinées que rien n'aurait pu distraire",La traversée du temps
Le bonheur il y a des jours avec et des mois sans,La collision de nos peaux
"Enfermé dans ma chambre il y a comme un goût de drame, planqué sous le drap,
l’impression que tout me lasse : je veux m'échapper mais je suis partout où que j'aille",Le temps d'un instant
"Quand les peines s'intensifient, moi
je me demande profondément si seulement le temps suffit",je veux m'échapper mais je suis partout où que j'aille~LonepsiSource
Il existe des mots que je voudrais crier mais que je n'ai même pas le courage de murmurer,Une belle connerie
Je cherche à retrouver ton parfum sur une passante que je ne reverrai jamais de la vie,Les vagues du silence
"Ressens ton enfance autrement qu'un souvenir joliment brûlé, en fait, ressens que le gosse qui vit en toi est plus vivant que jamais",Sans dire adieu
Je fais face à tous mes malheurs en remplissant de mots la feuille,Ressens
"Tes yeux sont le filtre par lequel l'instant peut devenir un souvenir, aussi te regarder par le reflet fera que je ne te porte aucun rêve",Je ne suis pas seul
"Je ne suis pas seul, je suis bien avec ma solitude,
les autres s'imaginent que je suis victime d'une folie sûre",Lettre à nuit
"Lorsque tu me parles je t’écoute comme si, c’était les derniers mots que tu prononçais",Je ne suis pas seul
"Il est vrai que je parle peu, mais mon regard en dit long :
Tu pourras lire en lui toute l'étendue de mes ambitions",Comme deux étoiles
"Lorsque j'étais en cours, je ne levais jamais la main:
Aujourd'hui c'est impressionnant la façon dont j'aime les mots. Comme un trait d'union c'est à ces mots que je me suis rattaché","
Tu pourras lire en lui toute l'étendue de mes ambitions~LonepsiSource"
"J'aurais souhaité que cette vue soit un tableau et nous dure plus d'un voyage, une peinture qui, comme une vague, s'achèverait par une incroyable noyade","
Aujourd'hui c'est impressionnant la façon dont j'aime les mots. Comme un trait d'union c'est à ces mots que je me suis rattaché~LonepsiSource"
"Je m'éloigne et reviens, plus fort;
attendez mon retour, avant, de déclarer que j'ai, eu tort",Comme deux étoiles
Je vis la nuit puis je me meurs le jour,Je m'éloigne
Ma jeunesse est un orage traversé par des soleils drôlement lumineux,Quand la nuit tombe
"J'éviterai de m'attacher trop fort,
car je sais que les sentiments peuvent provoquer des lésions.
Fatalement, ce qui me fait du mal me fait du bien",Hymne à l'ivresse
"La compagnie d'un autre peut rendre l'univers bien moins répugnant, les secondes que tu vis moins pesantes et chaque instant passé plus poignant",Nos maux
Ça pourrait te sembler étrange mais la douleur d'autrui m'esquinte,Hymne à l'ivresse
"Je cherche l’enfant qui s’est perdu en moi, et qui glorifie la vie avec un sourire innocent",Une belle connerie
"L'amour ça rend bête,
la mort un paragraphe, la vie des parenthèses",Sans dire adieu
"Je veux bien l'avouer d'accord, je n'ai toujours qu'un peu taffé:
Ma douleur est si brûlante qu'elle me tue à petit feu.
Aimer c'est pas ton fort mais tu laisses pas tes potes au fond",Je m'éloigne
La nudité de nos pensées restera secrète le temps qu'il faut,"
Ma douleur est si brûlante qu'elle me tue à petit feu.
Aimer c'est pas ton fort mais tu laisses pas tes potes au fond~LonepsiSource"
"Parfois il est maladroit et pense que la nuit
son bonheur, se mêle au drame,
passant de la peine aux larmes",La collision de nos peaux
"Viens dans mes bras dans un grand vide,
nos sentiments ont ralenti:
Seront-ils encore bien en vie dans dix ans...
Finalement tout ça m'ennuie quand j'y pense",Le pianiste
"J'ai peur de ne pas commettre mes rêves, de ne parvenir au bout","
Seront-ils encore bien en vie dans dix ans...
Finalement tout ça m'ennuie quand j'y pense~LonepsiSource"
"J'avoue rarement mes sentiments, il m'est même dur d'émettre un signe,
il y a des fleurs étranges donc il faut bien taire les racines. Je suis comme un marin seul, comment peux-tu m'aimer ainsi ?",Neruda
" (Si je pouvais remonter le temps comme Makoto) J'examinerais mieux ton sourire pour comprendre autrement l'histoire qui se cache derrière, je rejouerais nos adieux pour faire en sorte que cette scène ne soit pas la dernière",Danger de mot
"Sur la Terre, il n'y a pas qu'la gravité qui m'attire,
je ne fermerai pas ma gueule jusqu'à que l'on m'enterre",La traversée du temps
"Peu m'importe la distance, si je te veux je t'aurai,
y compris s'il faut traverser l'équivalent d'un torrent",Je m'éloigne
Comment vivre avec le fait que mes nuits durent des jours ?,Quand la nuit tombe
"Pourquoi les amitiés se révèlent si décevantes ?
Plus le temps passe et plus ces idées me hantent",Quand la nuit tombe
Notre rencontre a été le moment où le hasard était devenu prévisible,Nos maux
"Les senteurs de l'encre verte et les mots qu'elle abandonne, l'exode de mes pensées vers l'inquiétant bleu de la nuit puis l'isolement dans un océan de silence sont des croisières immobiles que j'entreprends mieux assis",Lettre à nuit
"On manquait les cours d'histoire pour aller créer la notre:
Le français, les mathématiques, on prenait les devoirs d'un autre",Les vagues du silence
"J'ai vu la détresse à travers la vitre abîmée d'un bus arrêté :
Comme si tous les maux des passagers auraient voulu s'abréger","
Le français, les mathématiques, on prenait les devoirs d'un autre~LonepsiSource"
