citation,artist
"Je brille que si tu brilles, ton cœur a crié mais je t'entendais si mal",Roses noires
"Les autres femmes sont fades et le temps efface toutes les fleurs qui fanent, j'ai vu briller la flamme dans ton reflet sans faille",Maria
"Dans Paris la nuit je l'ai vu, enfiler sa robe, j'n'aurai pas pu penser que le diable prenait forme humaine. L'amour est mort dans une rue sans lanterne",Un cœur de pierre dans un corps vide
Carrière sans lendemain comme espèce en voie d'extinction,Oh Lord
La nuit endort mes craintes dans son manteau d'étoiles,Infiniment vôtre
L'amour dure qu'un temps : le temps qu'tu baisses les arme,le temps qu'tu baisses les arme~Lord EsperanzaSource
"Tes qualités m'font défauts, difficile de ne pas céder",Infiniment vôtre
On s'détruit mais on apprend d'autrui que lorsqu'on accorde notre pardon,La couleur des sentiments
"J'baisse les yeux du ciel, je n'vois qu'des moldus, j'suis l'plus fort",Oh Lord
Dis-moi pourquoi c'était inconcevable? Ton sourire s'évapore et se fige sur toutes mes peines inconsolables,Maria
Le pouvoir de l'amour n'est rien face à l'amour du pouvoir,Sol d'étoiles
La nature est morte comme Van Gogh et ses tournesols,Oh Lord
"Ton regard est témoin du temps qui s'arrête, j'apprends chaque jour à lui dire je t'aime",Sol d'étoiles
"La mort fane les fleurs, l'amour est morphine, mon cœur meurtri se morfond dans des limbes d'endorphine",Polaroïd
"Si la Bible t'enseigne l'humilité, pourquoi cries-tu ta présence à l'église ?",Un cœur de pierre dans un corps vide
"J'ai plus d'amour à donner, j'ai ma tristesse à revendre",Anna
J'te fais du mal mais tu m'aimes : nature humaine,nature humaine~Lord EsperanzaSource
"J'les vois s'entretuer, je reste aussi passif que l'ONU",Oh Lord
Je traversais cette mégalopole ressassant de vieux songes et d'longues nuits d'été. J'étais loin d'me douter qu'j'allai croiser cet ange sur le chemin qui menait à l'automne,Maria
Si t'aimer c'est souffrir je ne cesse d'récidiver,La couleur des sentiments
On veut l'eau sur Mars : on sait pas c'que nos cerveaux renferment,on sait pas c'que nos cerveaux renferment~Lord EsperanzaSource
Comment grandir sans se sentir aimé ?,Noir pt.II
Leur avenir se résume à poster des émoticones : Qu'est ce que tu ferais pas pour des likes ?,Qu'est ce que tu ferais pas pour des likes ?~Lord EsperanzaSource
"On s'aimait par habitude, je titube sur le bitume, j'me suis perdu dans un torrent de pensées",Pour ce soir
"J'en connais trop qui s'excusent d'exister, combien finiront par se désister ?",Roses noires
Comment aider nos mères quand on ne peut s'aider nous-même ?,La couleur des sentiments
Les racistes sont des gens qui se trompent de colère,Noir
"L'Église sort d'la bouche des enfants, reniez pas cette vérité",Tutoyer le ciel
On reproche aux autres c'qu'on veut pas voir en soi,Polaroïd
Je perce plus vite que l'hymen d'une 2002,Oh Lord
Nos cœurs meurtris par le temps vagabondent mais ne respirent plus,L'ère du temps
"Sur un sol d'étoiles nos deux reflets titubent, à quoi bon s'aimer si c'est par habitude ?",Sol d'étoiles
"Quand à nous, on préfère pleurer sur tous les génocides qu'on finance : Multi-nationale à la traque des soldes",Multi-nationale à la traque des soldes~Lord EsperanzaSource
Faut savoir mettre en lumière acteur de l'ombre et choix de femmes qui donnent naissance à la flamme derrière un grand homme d'exception,La couleur des sentiments
"Je ne t'aime pas, je n'aime que l'image que j'ai de nous-mêmes",La couleur des sentiments
"Un roi n'est pas roi s'il assouvi son règne sans reine, je suis désireux envers celle que j'ai croisé dans un rêve",Maria
"Certains chemins du paradis, mènent aux portes des enfers",La couleur des sentiments
"Mais j'n'ai pas de regrets concernant notre histoire, j'ai trouvé de l'espoir pendant toutes ces nuits noires, je te suivrai peu importe où ça mène",Polaroïd
"Lorsque notre espoir transparaissait, je contemplais ton ombre",L'ère du temps
Le mal être de l'homme change t-il sous lunettes persol ?,NoIr pt.II
"Fuis-moi je t'aime, ton âme aussi m'a jeté, j'ai choisi d'noyer ma peine pour aussi instaurer c'climat de paix",Pour ce soir
