citation,artist
"J'laisse pas les radios formater mon boulot.
En autoprod', je n'suis jamais épuisé,
j'fais pas mon son pour plaire à Laurent Bouneau
mais c'est une victoire quand il est diffusé",Ma dope
Vaut mieux avoir de sérieux amis que des amis sérieux,Elle pleut
Tu te nourris de la douleur un peu comme Amy,O.D
Le navire coule et ils disent qu'c'est un problème de voile,Point d'interrogation
"Est-ce que t'as d'jà ressenti l'ivresse en t'imaginant la tristesse,
de ceux qui te connaissent si tu t'faisais sauter la cervelle ?",Humanoïde
"Voir un mec s'faire racketter, appeler au s'cours et pisser l'sang;
dans le même wagon du RER où t'étais seul.
Est-ce que t'as détourné l'regard ? Dégoûté face à ta propre lâcheté.
Est-ce qu'après t'as fait des trucs de malade juste pour t'racheter ?",Humanoïde
"Je sens le dernier métro gronder sous mes pattes, quelle idée d'aimer cette femme qu'on ne soumet pas ? C'est plutôt nul comme fin, en plus ça nique le r'frain",Galatée
"On se sent avec un regard et on joue avec les nerfs.
Moi, je parle avec les mains, parfois j'pense avec ma...
Mais je touche avec mes pensées et j'écris avec le cœur",On verra
"On aime tellement les frissons que l'on recherche l'ivresse encore, c'est plus pudique de s'mettre à poil devant l'autre que d'livrer son cœur, et puis un beau jour, c'est là, on déploie nos ailes, on s'élance",1er rôle
"Avant, je voulais me prouver des trucs,
j'avais peur donc j'voulais me battre.
Depuis que j'ai frôlé la mort,
j'ai plus peur d'rien et j'veux plus m'battre",Être humain
"J'peux pas me taire face aux injustices que l'on nie en Palestine, il faut stopper les colonies",Besoins de sens
"Mauvaise nouvelle, au ralenti la bouteille s'écrase contre le plancher, descente dans les abysses et ma noyade à contre-plongée. Insert, des bouts de verres, insert, des gouttes de sang, flash-back : une nuit d'hiver, ton ventre soutenant ma tête. Insert, ciseaux ouverts, plan serré, non, coupe le son,  Flash-back : une femme sincère, plan large : un homme à terre","une nuit d'hiver, ton ventre soutenant ma tête. Insert, ciseaux ouverts, plan serré, non, coupe le son,  Flash-back "
"Comme Walter White, j'ai mes Clarks Wallabees,
sœur, serre-moi la main, frère, claque-moi la bise",Tempête
"Pour séduire les filles, tout peut marcher sauf être un garçon bien",Risibles Amours
"Je sais le vide que ça laisse en toi,
sans ma plus fidèle amie, je serais sûrement sans toit",Reuf
"Et même si notre amour à tes côtés devait renaître demain, elle m'a dit : Jamais je ne remettrais mon cœur entre tes mains, jamais, jamais n'oublie pas que quand tu l'avais, tu ne m'as laissé que du mal-être et des marques","Jamais je ne remettrais mon cœur entre tes mains, jamais, jamais n'oublie pas que quand tu l'avais, tu ne m'as laissé que du mal-être et des marques~NekfeuSource"
"Les autres femmes manquent de sel je ne croque pas un bout de ces repas sans goût, à l'esprit j'ai des images de tes cheveux qui repassent en boucle",Galatée
"Avant que Lucifer ne me crucifie,
je me suis laissé faire et j'ai cru ses fils",Laisse aller
Je cède aux plaisirs mais je n'suis pas plus heureux qu'au début,Mon âme
"On traite nos corps comme des déchetteries :
Consomme la mort en s'disant qu'on va pas s'empêcher d'vivre","
Consomme la mort en s'disant qu'on va pas s'empêcher d'vivre~NekfeuSource"
"Dis-moi, pourquoi les gens d’aujourd'hui se contactent-ils, si c'est pour faire l'amour avec des écrans tactiles ?",Zone
"Dans cette vie sans saveur, on cherche les goûts d'hier",Humanoïde
"Chacun ses addictions, les moins que rien se multiplient,
ils veulent se soustraire à ma division dès qu'il faut payer l'addition",Être humain
J'ai besoin de tes mensonges tous mes songes se rappellent de toi,Energie sombre
"Ça s'rait dommage de finir sur une dispute, si je pars avant est-ce que tu compatiras ?",Premier pas
"Chacun son rôle, attirés par le roro comme l'oiseau noir,
mes khos sortent des roseaux de Konoha.
Anti-héros comme Roronoa Zoro",Réalité Augmentée
"J'suis poli sur les plateaux télé, au cas où maman guette, la lame de rasoir est planquée sous ma languette",Programmé
"Dans la mère à Manuel Valls, dans la mère à Donald Trump, j'ai des valeurs, je suis pas prêt à tout pour que les dollars pleuvent",Saturne
"Est-ce que t'as été surpris quand on t'a dit : On tient à toi, mec ?","On tient à toi, mec ?~NekfeuSource"
"Au fond du trou, à part le Ciel, tu veux qu'j'me tourne vers qui ?",Le Horla
"Le rap game c'est pas Death Note, à la fin c'est le L qui gagne",Koala mouillé
"Homme très seul, voix et poitrine compressés, t'es sortie d'un livre comme princesse, j'ai eu honte d'avoir connu celles qui t'précèdent",Nouvel homme
"À l'heure où j'écris ça, j'ai arrêté d'fumer et d'boire.
J'ai arrêté, mon Dieu, pourvu que ça dure.
Je me sens tellement mieux.
Ouais, j'ai arrêté, mon Dieu.
J'ai arrêté, mon Dieu...",Être humain
Je fais un rejet quand les gens sans cœur viennent se greffer,Laisse aller
"Et, dans nos cœur, on est à l'ère de L'Age de Glace
Aymé ? C'est plus qu'un personnage de H",Nique les clones pt.II
"Le cœur veut rien savoir, alors on le supplie,
l'amour on n'le fait pas, l'amour on le subit",O.D
"J'arrive en armure comme Diam's, on a
gravé sur les murs les noms des mecs du squa,
qui sont tombés dans la 'ue-r' comme Yams: J'arrive luXe comme Yams",J'arrive luXe comme Yams~NekfeuSource
Y'a qu'sur les plages du succès qu'on échoue,Cdglaxjfkhndath
"J'me savais pas aussi faible, il paraît qu'on s'y fait, reflet perforé par les gouttes de pluie qui coulent",Le bruit qui court
"T'as voulu arracher la douleur, dev'nir insensible, mais il t'reste encore dans l'cœur un peu d'cette bonté que t'as cru ôtée",Le bruit qui court
Tout est une question de volonté,Programmé
"Même les professeurs ne sont plus bons qu'à trier,
alors faudra me dire : quel espoir d'avenir
pour un gamin qui part dans le bâtiment en quatrième ?","quel espoir d'avenir
pour un gamin qui part dans le bâtiment en quatrième ?~NekfeuSource"
"Tu veux ma confiance, ça met du temps, met du temps, j'ai construit mon empire de mes dix doigts, mes dix doigts, 2017, j'attends toujours ma Dido, ma Dido",Zone
"Menaçante, jalouse, me glaçant le cœur, comme t'avais peur, t'as tué mes relations d'amour",Princesse de feu
Tous dans le même bateau mais où est-c'qu'on va ? On est tous aveugles dans ce convoi,Ciel noir
"D'où sors-tu ? Ta douceur tue. Mais, mais, mais d'où sors-tu ta douceur ? Il y a plus d'un homme qui tuerait pour toi",Saturne (Interlude)
"Quand c'est fini, elle efface ses com', elle est facile comme les phases en : comme",comme~NekfeuSource
"Mais c'est toujours la même, elle a tenu mes mains,
elle m'a dit : Tu m'aimes ?, j'ai dit : Non, tu m'émeus.","Tu m'aimes ?, j'ai dit "
"Sur le chemin de l'amitié, j'ai fait de belles rencontres",Reuf
"Est-ce que tu t'es d'jà fait rabaisser par celle que t'aimais secrètement ?
Gentille en privé mais, d'vant les gens, cruelle et légère",Humanoïde
"Nos écrans en guise de barricade, on s'envoyait des pavés",Elle pleut
"Tatouage en bas du dos, j'ai de la lecture quand elle se cambre.
On a fini par terre, yeah, elle s'est mise sur le ventre:
Elle m'a dit : Prends les devants, je l'ai prise par derrière","
Elle m'a dit "
"Écrivain le soir, j'rappe sur les dunes pendant des heures,
un petit grain de sable, la solitude m'inspire des airs",Humanoïde
"Elle veut jamais que j'paye mais j'l'inviterai prendre un verre à Cannes, dans la plus belle des suites, crois-moi qu'on verra qu'elle",De l'autre côté
"J'sais très bien que je n'ferai aucun cambriolage
mais j'ai des valeurs que je n'céderai pour aucun prix aux lâches",Point d'interrogation
"Ce monde rend fou, tout le monde est en guerre,
plus on s'renfloue et moins on voit clair",On verra
"Complètement déboussolé, Est-Ouest, Nord-Sud,
croquer la vie à pleine dent, condamné à une mort sûre",O.D
"Tu ne penses qu'aux autres, tu ne penses pas à moi, elle a brisé son cœur sur moi",Elle pleut
"Fuir la nature immatérielle, c'est pas sûr qu'on puisse,
face à la lumière intérieure, c'est nos yeux qu'on plisse",Avant tu riais
"J'ai frappé dans les murs, mais ça résonne vide",Humanoïde
"L'éducation t'a fait désapprendre des choses essentielles que tu savais déjà,
surtout n'oublie pas qu'avant tu riais mais l'amour te libère, l'as-tu oublié ?",Avant tu riais
"Plus d'espace dans mémoire vive, des histoires sur des sparadraps, une espèce d'ennui morbide qui fait qu'au fond t'espères un drame, et puis l'envie disparaîtra à l'âge du premier disparu",Takotsubo
Leur âme est souillée comme l'air de la terre,Laisse aller
On croit qu't'es belle et puis tu files ta place à l'orgueil,Princesse de feu
"Bébé, j'ai quatre-vingt-dix-neuf 'blèmes.
Je veux pas t'avoir sur le dos, je veux t'avoir sur le ventre",Ma dope
"J'aime pas ma bobine, j'ai du mal à me proj'ter",1er rôle
"On ne juge pas le Cyborg à son ossature, je veux faire le tour de ma planète comme les anneaux de Saturne",Saturne
"J'suis couché depuis l'aube, j'observe la rive depuis l'autre, on s'prend pour des pilotes, mortel sera l'épilogue. Rappelle-toi, il voulait même pas m'donner l'heure, maintenant, j'fais des sapes pour pas porter les leurs",Jeux vidéo et débats
"Y'a quelque chose dans la manière dont le vent souffle, y'a quelques pixels en plus dans le ciel, comme si ma vie d'avant, j'étais absent",Pixels
"Fuyons cette atmosphère écœurante l'amour n'est pas une prison, en t'attendant j'observe les liens que les passants nouent, il fut un temps où la beauté du ciel venait pas sans nous",Galatée
"Les conseils que les gens donnent, je les écoute pas je n'ai plus d'aller trop vite",Chanson d'amour
"Un rayon blanc transperce le prisme, et, dans ses iris, le reflet d'un arc-en-ciel noir se brise : Elle pleut",Elle pleut~NekfeuSource
"J'observe ces hommes en costume,
noyés dans cette masse informe",Avant tu riais
"J'prends la souris, fait parcourir la flèche sur ton visage, zoom sur ton sourire. J'essaie d'savoir si t'es heureuse ou pas, tu transformes les colombes en corbeaux. J'ai brûlé ta photo mais t'es encore belle, j'ai tout jeté mais sans vider la corbeille",Éternité
J'veux pas faire c'qu'y'a entre le S et le C-R-E-W,Squa
"Chez tous les gens intelligents, ça rit jaune, de voir les dirigeants s'ériger en défenseurs de la morale, alors que dirigeante, pour nos sœurs, c'est un mot rare",Le bruit qui court
"Tu m'aimes et tu me fais plus de mal que mon ennemi,
bébé jamais je ne leverai la main sur toi mais mon cœur cogne.
Ton corps contre ma bouche c'est comme le fusil de Kurt Co",O.D
"Moi j'écrivais mes textes en classe, le temps du cours j'inversais le cours du temps",Nekketsu
"On m'a dit qu'ça servait à rien de parler d'ses problèmes, mais moi, je sais c'que c'est d'écouter du rap et d'se sentir compris",Ολά Καλά
"Les démons s'amassent autour du corps qu'on ramasse, et le sang paraît plus noir à l'éclairage d'un gyro",Ciel noir
"Y'a pas de sous-métier, sauf flic.
Si y'avait pas d'trafic, y'aurait qu'des émeutiers,
pour ça qu'ils laissent faire, ouais",Le Horla
"Trop de mômes en prison, fuis ce monde oppressant,
trop de moments précieux, vis le moment présent",Humanoïde
"On meurt avec un vécu, aucun mec invaincu,
désormais convaincu des lacunes qu'on véhicule",Laisse aller
"Le studio est allemand, italiennes sont les bagnoles,
les concerts sont américains, les branlettes sont espagnoles",Nek le Fenek
"T'as l'impression d'avoir sali tes rents-pa et t'as la pression, ouais, ma future femme marchera avec un solidaire au bras au lieu d'un solitaire au doigt",Les étoiles vagabondes
"Ton ami te snappe mais tu le verras dès qu'il peut,
si tu meurs, t'auras plein de emoji tête-qui-pleure",Réalité Augmentée
"J'ai l'vertige quand j'pense à toute la route qu'il m'reste à accomplir.
J'suis prêt à t'casser les couilles si t'as bu, j'te laisserai pas conduire",On verra
"Faut pas qu'on s'atrophie, bilan catastrophique, car souvent, tout passe trop vite à part les souffrances",Les étoiles vagabondes
"Si t'as besoin de recul, appuie sur la détente",Laisse aller
"Même à l'école, les professeurs ne comprenaient pas comment je pouvais niquer mon avenir, je devais trouver ma voie, j'avais du mal à choisir entre les trois premiers Pokémon",Zone
"Repousse les fauves, il t'faut une touche de fond avant qu'ils touchent tes formes",Les étoiles vagabondes
"Moi j'suis comme Goku, j'ai le coeur souffrant",Nekketsu
"Sans cette putain d'amitié, je me sentirais seul sur la Terre, fou",Programmé
"J'suis comme Broly, j'deviens paro dès qu'ça parle de carotte",Le Horla
"Côté secret comme la Lune, personne marche sur moi, comme la Lune",Menteur menteur
"Au début, ça vend du rêve mais seules les femmes savent endurer,
et chaque fois que ça compte, je n'arrive pas à être moi-même.
D'où vient ce besoin de vouloir tout cacher ?",Risibles Amours
"On est qu'une infime parcelle, ressens-tu l'inertie ?",Être humain
"Les filles sortent de sa chambre chaude,
les MC's sortent de sa chambre froide",Nek le Fennek
"La frontière est étroite entre ton rêve et les lois,
si tu les crois, commence à t'enterrer pour tempérer tes joies.
On est dans l'flou, au fil du jour en perpétuel flottement,
oui, mais j'm'en fous, c'est carpe diem, on perd ses rêves au vent",Rêve d'avoir des rêves
"On s'déshabille du regard, les yeux dans les yeux en silence, et c'est tellement plus excitant que de baiser sans sentiments",1er rôle
"Je sais qu'on serait même pas heureux ensemble, nous sommes de ceux que la rancune sépare",Dans l'univers
Inouï comme un inuit sur la ligne 8,Esquimaux
"J'fume de l'hydroponique, j'bois de l'hydromel",Martin Eden
Tellement sombre que mon ombre est plus claire que moi,Energie sombre
"J'sais même pas qui j'suis mais c'qui est sûr,
c'est qu'j'ressemble pas à celui que j'vois devant le miroir",Point d'interrogation
"Tu dis que tu fais ça pour ta mère, menteur, elle préfère être pauvre qu'avoir de l'argent sale",Le regard des gens
"Tu sais, tant qu'un frère a du cœur, j'ai rien à foutre de ses stats'.
On a passé l'stade de s'demander qui sait s'tape",Le Horla
"Sincèrement, j'en fais le serment,
je vais combattre le système en m'en servant",Laisse aller
"Des sourires en coin, des clins d'oeils,
avant le deuil d'un amour en déclin",Avant tu riais
"Je l'embrasse sur les joues, le désir s'est évanoui, on s'était dit qu'c'était pas nous mais le vice s'est épanoui",J'aurais pas dû
Y'a pas d'loi impartiale à part l'Ciel,Tempête
"Contrôle-toi ou fais-toi contrôler,
on peut être libre ou prisonnier de ses vices",Avant tu riais
J'ai vu autant d'humanité chez les animaux que d'animosité chez les humains,À deux pas
"Envers les clones il m'reste de l'animosité...
Et mon esprit baisse la luminosité",Réalité Augmentée
"T'as les yeux revolver, le sourire désarmant,
j'avais aucune chance",O.D
"J'en ai rien à foutre de ton avis, j'suis seul aux commandes.
J'représenterai toujours mes amis, les salauds comme moi.
Quoi ? Tu voudrais contrôler ma vie ? Wesh, c'est comment ?
J'en ai rien à foutre de ton avis, j'suis seul aux commandes",Ma dope
"J'continuerai de mentir à sa petite amie.
Ma mère peut l'engueuler comme si c'était son fils,
s'il s'tape, je vais sauter d'office dans la mêlée",Reuf
"Je ne lui ai pas donné de nouvelles.
On n'était pas naturels, on n'était pas nous-mêmes",Égérie
"Alors maintenant, je m'accroche à la lumière quand les nuages sortent, et je n'regrette même plus qu'on ait passé tant de nuits ensemble. Même si notre amour était teinté par toutes sortes de nuances sombres, tu semblais drapée dans ton orgueil mais tu étais nue en-d'ssous",Ολά Καλά
"Même quand je suis sincère chaque fois tu t'méfies et quand je suis moi tu me fuis, bon",Galatée
Tu connais l'visage mais tu connais pas l'Humain,Sous les nuages
Un cœur de glace mais j'ai vu d'la neige fondu sous tes paupières,Stalker
"Cette impression de perdre son temps, s’étouffer dans cette vie toute faite, se sentant faible en sachant qu'la vie est une fête où personne danse",Écrire
"On embarque tout l'équipage ou le bateau ne part pas,
si tu parles de ceux qui parlent, fais pas croire que tu parles pas",Martin Eden
"J'sais pas pourquoi on parle du coeur, vu que moi je ressens tout dans le ventre, quand tu tournes dans le vent",Nouvel homme
"Mais, moi, j'ai la rage, ma vision du Rap, elle est rare,
tant qu'un misérable s'endormira dans la rame,
pendant que le rat se réchauffera sur les rails",Nique les clones pt.II
"J'ai vu autant d'humanité chez les animaux que d’animosité chez les humainsJ's'rai plus l'ami d'un lascar faible, la sœur de mon frère, c'est ma sœur, chez nous, y a pas de sale manie comme dans Scarface",Tricheur
"T'es pas ma femme mais une maladie noire, chaque fois qu'tes yeux couleur émeraude croisaient les miens, toujours le même rôle : je t'aimais trop pour froisser les liens",je t'aimais trop pour froisser les liens~NekfeuSource
"Je ne vois plus que des clones, ça a commencé à l'école,
à qui tu donnes de l'épaule pour t'en sortir ?
Ici, tout l'monde joue des rôles en rêvant du million d'euros,
et j'ai poussé comme une rose parmi les orties",Nique les clones pt.II
"La première fois qu'ils te lisent tes droits, c'est quand ils t'arrêtent",Tricheur
"Il paraît que c'est normal, est-ce que c'est moi ?
Je m'rendais même pas compte
que je vous faisais du mal, excusez-moi",Être humain
"On ne confond pas l'honneur et l'orgueil,
on a tous, dans le cœur, le rayonnement des supernovasTu peux être un acteur important du film de ma vie mais tu n'auras jamais le premier rôle",1er rôle
J'donne tout pour mon conglomérat pour que mes rats soient pros comme Era,Vinyle
"Parfois, j'me demande si j'existe vraiment, de ma vie, je n'suis qu'un spectateur. Alors j'me fais du mal mais discrètement, le psy m'a dit : C'est qu'un aspect d'ta peur. Et, quand j'ai mal, je me sens vivre un peu... Il fait nuit quand les lumières s'allument","C'est qu'un aspect d'ta peur. Et, quand j'ai mal, je me sens vivre un peu... Il fait nuit quand les lumières s'allument~NekfeuSource"
"Tu verras quand tu seras grand, tu vas apprendre, disent-ils,
expliquez-moi pourquoi, l'adolescence, ça rend si triste,
quand l'cadran s'dissipe, faut qu'on avance si vite",Rêve d'avoir des rêves
Entrer dans ce monde plat nous dessert,Humanoïde
"Aujourd'hui je ne suis pas sorti, peut être qu'il pleut",Réalité Augmentée
