citation,artist
"Marion Maréchal me suit sur Twitter, j'aimerais la baiser, briser son p'tit cœur. J'ai envoyé ma bite et un emoji fleur, bonjour au papy, j'suis pressé qu'il meure",Christophe
"J'suis toujours à deux verres, à deux textos, deux DM de mettre ma bite dans un nid à problèmes",Adieu les filles
À quelques millièmes de secondes de laisser passer mon heure,Inachevés
"Dis-toi qu'les latinas sont les plus bonnes du monde : écoute en espagnol, dis-toi qu'en chimie tu pourrais faire d'la drogue","écoute en espagnol, dis-toi qu'en chimie tu pourrais faire d'la drogue~OrelsanSource"
"Si tu dis souvent qu't'as pas d'problème avec l'alcool, c'est qu't'en as un",Basique
"Tu bloques sur les défauts des autres, et c'est ton pire défaut",La fête est finie
"J'pensais jamais m'investir jusqu'à c'que j'rencontre une fille en soirée, que j'voulais revoir le jour d'après, et l'jour d'après, et tous les jours d'après. C'est la deuxième fois qu'une femme me porte",Épilogue
J'ai vu assez d'bâtards tristes pour croire au karma,San
J'fais rien à fond donc j'serai qu'à moitié triste,Inachevés
"Si tu rentres, prends ton ticket d'vestiaire en photo",Notes pour trop tard
"Mon père a gravi l'échelle pour devenir c'qu'il voulait être, ma mère est la ménagère à qui les publicitaires veulent la mettre",La pluie
"J'ai des mensonges tellement beaux, tu voudras plus jamais croire la vérité. J'ai des excuses tellement belles, tu voudras qu'j'te trahisse pour les écouter",Excuses ou mensonges
"Mon père a gravi l'échelle pour devenir c'qu'il voulait être, ma mère est la ménagère à qui les publicitaires veulent la mettre",La pluie
"Des fois, ma grand-mère sort un rôti de son sac à main, elle fait toujours en sorte que tout l'monde mange à trois fois sa faim",Mes grands-parents
"J'passe mes journées dans mon lit, Jésus pourrait pas m'lever",Freestyle Radio Phoenix
"Pour des bonnes ou des mauvaises raisons, mon père m'a souvent crié dessus,
mais, quand il dit rien, c'est qu'il est vraiment déçu",Quand ton père t'engueule
"Oui, c'est vrai, t'es jolie, mais raconte pas ta vie c'est vraiment plus la peine. Depuis qu't'as mis en ligne toute ta vie tu m'ennuies comme si j't'ai déjà ken",Fantômes
"Incapable de faire des choix j'suis comme mes figurines, inutile, j'reste chez moi, j'baisse les bras",Inachevés
"Dans le lit d'Satan, les dangers portent un visage d'ange",Fantômes
J'partirai jamais en laissant l'histoire inachevée,Inachevés
"Arrête de passer ta vie à fuir, angoissé par l'avenir, parce qu'y'a rien à faire pour s'préparer au pire. Comme les attentats, les mauvaises nouvelles frappent quand tu t'y attends pas, des proches un peu pressés partiront avant toi",Notes pour trop tard
"Si j'suis parti, c'est parce que j'avais peur de rouiller, trempé, j'aurais jamais pensé, qu'le mauvais temps finirait par me manquer",La pluie
"J'mens surtout à moi-même quand j'répète que j'essaye, que j'essaye de faire de mon mieux","J'essaye, j'essaye"
"Nekfeu, Orelsan, Neksan, Orelfeu : Qu'est-ce que t'attendais d'mieux ? Étoiles dans les yeux",Qu'est-ce que t'attendais d'mieux ? Étoiles dans les yeux~OrelsanSource
"En hommage à toutes les opportunités gâchées;
à nos histoires mortes avant d'avoir démarrées",Inachevés
"Si t'as l'impression qu'personne te comprend, c'est parce que personne te comprend",Notes pour trop tard
Ceux qu'ont des trucs à s'reprocher sont les plus jaloux,Tout ce que je sais
"L'école est un calvaire, y'a pas grand-chose à faire, arrêter, c'est partir trop tôt dans une autre galère. Tèj' ton sac-à-dos en l'air, t'auras l'poids d'la société sur les épaules",Notes pour trop tard
"Tu peux avoir eu ton brevet, ton bac avec mention,
ton permis, une coupe du Monde, deux prix Nobel, ça changera rien.
T'auras toujours le potentiel pour être un bon à rien:
T'es responsable de tous les malheurs de la Terre,
de la guerre, de la pluie","
T'es responsable de tous les malheurs de la Terre,
de la guerre, de la pluie~OrelsanSource"
J'fais comme le père de Bernie : j'encule tout,j'encule tout~OrelsanSource
Plus tu seras honnête plus on dira que tu simules,Si facile
J'aimerais tes défauts si jamais j'arrive à en trouver,Paradis
Notre amour est la seule vérité,Paradis
"J'vois plus d'photo, j'vois qu'le négatif",Fantômes
"J'aimerais retrouver la magie du début, rien n'fonctionne quand l'cœur n'y est plus",San
"Y'a rien à faire, à part être présent, panser les plaies, changer les pansements, le seul remède, c'est l'temps",Notes pour trop tard
"Pourquoi les gens sont plus agressifs en voiture ?
Quand ils s'sentent en sécurité, ça fait sortir leur vraie nature",Quand ton père t'engueule
Et on s'détruit la santé pour se sentir en vie,"J'essaye, j'essaye"
"Savoir pleurer, dire : Je t'aime tellement. Plus voir l'amour comme une sorte de légende, j'veux apprendre à profiter du présent","Je t'aime tellement. Plus voir l'amour comme une sorte de légende, j'veux apprendre à profiter du présent~OrelsanSource"
"Quand j'disais : C'est nous, l'futur, j'parlais d'maintenant, j'parlais d'cet instant, le futur, c'est maintenant","C'est nous, l'futur, j'parlais d'maintenant, j'parlais d'cet instant, le futur, c'est maintenant~OrelsanSource"
"On était censé changer les choses, depuis quand les choses nous ont changés ?",La fête est finie
"Maintenant, j'pourrais baiser plein d'bonnes meufs, sauf qu'entre-temps, j'ai trouvé la bonne meuf, donc j'm'en bats les couilles des bonnes meufs",Bonne meuf
"J'aurais pu sauver la vieille France, aider la patrie d'mon enfance, donner aux racistes de l'espoir, mais j'fais d'la musique de Noir",Christophe
"Si j'écrivais des chansons d'amour, ce serait pour dire qu'il n'existe pas","J'essaye, j'essaye"
"C'est celle que j'attendais, j'savais pas qu'j'attendais, j'croyais pas en l'amour avant d'le voir en vrai. L'univers a changé, elle est dans chaque pensée",La lumière
La réponse à toutes mes questions s'endort à mes côtés,Paradis
"Si t'es souvent seul avec tes problèmes, c'est parce que, souvent, l'problème, c'est toi, toutes les générations disent que celle d'après fait n'importe quoi",Basique
"J'prends pas d'bouteilles en boîte, à Carrefour, c'est vingt balles",Christophe
"J'me suis casé juste après avoir percé, comme si j'passais pro et j'me pétais les croisés",Adieu les filles
"J'l'invite à danser comme si j'savais l'faire, elle prend ma main, elle prend ma vie entière",La lumière
"On parle pas la même langue, dialogue de sourd, on pourra jamais s'entendre",Quand ton père t'engueule
"J'mets que des t-shirts de geeks, Japan Expo, c'est la Fashion Week",Christophe
"Trop d'porno, on est déséquilibrés, faut qu'les meufs en mattent plus pour équilibrer",Discipline
"Hugo Boss habillait les nazis, le style a son importance, les dauphins sont des violeurs, ouais, méfie-toi des apparences",Basique
"Ta peine est ma peine, ma vie est la tienne, ta famille et la mienne sont la même",Paradis
"Quand tu dormiras dans la rue, tu seras toujours à côté de la plaque",Si facile
"Droit dans les yeux, j'te mentirai, tu verras qu'du feu, de la fumée. Je sais, c'est naze, mais c'est trop tard, c'est comme ça, j'laisserai pas juste une histoire tout gâcher",Excuses ou mensonges
"J'veux plus jamais nier les évidences, j'sais qu'il va falloir prendre mes distances",Épilogue
Comment on utilise nos jambes c'est une insulte à la paraplégie,C'est toujours 2 connards dans un abribus
"Si vous n'avez pas peur du vide, regardez Murielle dans les yeux",Défaite de famille
"Envie d'appeler à l'aide, qu'on vienne te tenir la main,
quand, tout c'que tu sais faire, c'est remettre à plus tard",À l'heure où je me couche
"Les vérités sont compliquées, les clichés sont stables",La fête est finie
"Plus tu cherches à prouver quelque chose, plus ça fait l'contraire, quand tu dis qu't'as pas peur, c'est qu't'as peur. Quand tu dis qu't'as pas mal, c'est qu'tu commences à sentir la douleur",Notes pour trop tard
"Quand y'a plus d'alcool sur le sol que dans les verres, c'est qu'il est l'heure de rentrer",La fête est finie
"Avant, j'avais peur d'être pas normal, quand j'vois les gens normaux, j'suis fier d'être pas normal",San
"J'ai fait des erreurs et j'en ferai d'autres, mais j'veux plus jamais faire semblant d'être amnésique. Quand tout l'monde te prend pour un connard, et t'es l'seul à qui personne l'avait jamais dit",Épilogue
"Un jour, j'ai ramené deux meufs, c'était nul, ça m'a rappelé qu'j'ai du mal avec une",Christophe
"Comment tu peux leur en vouloir ? Tu t'comprends pas toi-même, souvent seul avec tes problèmes, souvent, c'est toi l'problème",Notes pour trop tard
"J'ai abandonné ces chiennes sur le bord de la route, c'est moi qui devrais avoir des doutes parce que tu les baises toutes",Paradis
"J'ai l'cerveau qui déconne, c'est leurs insultes qui résonnent. Récemment, plus j'me questionne plus j'me rapproche de l'exode",Fantômes
