citation,artist
"Regarde le calibre dans les yeux, puis trouve la vie canon",Dineros
Un oeil sur l'avenir et puis l'autre sur ta fesse,NEX
A Marseille on craint dégun et a Paname on casse des gueules,"Lui ça glisse'Beaucoup d'histoires inachevées. A notre époque, être un homme c'est quasiment signe de lâcheté, à ce qu'il parait le bonheur coûte cher, ça compte bien je compte me l'acheter"
"Y'a du monde pour les prendre personne pour les aimer, j'mets ton cœur à l'ouvrage on est plus à donner",Croco Crock
"Y' a qu'dans sa chatte que j'aime glander, y'a qu'sur ma boîte qu'elle aime danser",HUH.MP3
"J'prends ta meuf à l'arrière du Golf et elle jouit en allemand, j'ai rien à perdre, j'ai tout à gagner. Tu joues le maintien on empile les trophées",Rebeu de schneck
"Vis au jour le jour, tu t'sens mal le soir",Stupéfait
"Nique le mode avion, j'ai mis sous l'eau le phone-tel",C'était bien maintenant
"Si elle est moche, j'la prend de dos, je la dos-ken",Croco Crock
L'avenir dans les mains mais tu t'en branles,Croco Crock
Comme l'tabac du coin j’accepte pas les chèques,C'était bien maintenant
"Quand j'te parle, c'est pas pour discuter",Mudinana Love
"Je t'ouvre les portes de mon palais, laisse moi t'montrer le télescope",Harry Pepette
La plupart de mes défaites sont plus belles que leurs victoires,Rebeu de schneck
"Bébé je t'aimais bien, jusqu'à c'que tu t'attaches, l'amour est une chienne que tout le monde se partage",Nex
Au fond tu sais que c'est pour moi que tu pousses cette fonte,Stupéfait
"Pétasse frotte mon chibre, puis fait un veux, elle demande un orgasme, elle en a deux, pétasse boit dans mon verre donc ce soir me suce la queue",#Félaback
